fecha,produccion_kg,consumo_kwh,fallas_maquina,mantenimiento,ventas_usd,costos_usd,tiempo_inactividad_horas
2020-01-31,13949.0,55402.22,8,3,21349.0,16695.0,24.1
2020-02-29,14855.0,53185.39,7,2,23034.0,16862.0,22.9
2020-03-31,13363.0,56047.0,9,3,20701.0,16897.0,28.0
2020-04-30,11353.0,55015.92,12,4,17693.0,15442.0,47.4
2020-05-31,13911.0,53261.45,7,2,21225.0,16161.0,20.1
2020-06-30,14013.0,52636.63,8,3,21185.0,16518.0,25.6
2020-07-31,14498.0,54224.49,7,2,22132.0,16843.0,22.6
2020-08-31,14459.0,52897.17,6,2,21077.0,17077.0,18.6
2020-09-30,13216.0,52784.03,8,3,19402.0,16383.0,27.6
2020-10-31,11753.0,51792.34,10,4,17316.0,15557.0,41.2
2020-11-30,14431.0,52721.53,7,2,21463.0,17085.0,22.8
2020-12-31,14056.0,52525.21,8,3,21747.0,16123.0,25.8
2021-01-31,13379.0,51260.85,9,3,19951.0,15920.0,30.4
2021-02-28,13865.0,51830.75,7,2,20989.0,16075.0,21.0
2021-03-31,11868.0,50521.6,11,4,18819.0,15312.0,43.3
2021-04-30,14241.0,49522.0,7,2,21572.0,15944.0,20.4
2021-05-31,14177.0,49425.9,7,2,22139.0,16502.0,22.1
2021-06-30,14101.0,47368.07,8,3,21010.0,16079.0,26.7
2021-07-31,13777.0,48047.91,8,3,20957.0,15628.0,24.6
2021-08-31,14339.0,46058.57,7,2,21356.0,15859.0,22.1
2021-09-30,13222.0,47042.94,10,4,20038.0,15841.0,35.9
2021-10-31,13900.0,44250.9,9,5,21767.0,16086.0,31.6
2021-11-30,14729.0,43537.44,6,3,21445.0,16727.0,20.4
2021-12-31,14646.0,39988.46,3,2,22681.0,16703.0,9.7
2022-01-31,15376.0,39493.15,2,1,23682.0,16264.0,8.9
2022-02-28,15614.0,39945.2,2,1,23492.0,15984.0,7.9
2022-03-31,15941.0,40282.3,3,2,23403.0,15804.0,8.6
2022-04-30,16387.0,40363.78,2,1,25122.0,16707.0,8.2
2022-05-31,17428.0,40297.17,2,1,26269.0,16810.0,9.8
